sale_id,sale_date,category,region,amount
1,2024-01-03,Books,West,1200
2,2024-01-05,Books,West,1800
3,2024-01-10,Games,West,3200
4,2024-01-15,Books,East,900
5,2024-01-18,Games,East,2100
6,2024-01-22,Electronics,West,5400
7,2024-01-25,Books,West,2600
8,2024-02-02,Books,West,3100
9,2024-02-06,Games,West,4200
10,2024-02-08,Electronics,West,6100
11,2024-02-12,Books,East,1500
12,2024-02-14,Games,East,2300
13,2024-02-18,Books,West,2900
14,2024-02-20,Electronics,West,4800
15,2024-02-25,Games,West,3600
16,2024-03-03,Books,West,4100
17,2024-03-05,Games,West,5200
18,2024-03-09,Electronics,West,7000
19,2024-03-12,Books,East,1700
20,2024-03-18,Games,East,2600
21,2024-03-22,Books,West,3900
22,2024-03-25,Electronics,West,6400
